id_bien,no_voie,btq,type_voie,voie,type_local,surface_reelle_bati,nb_pieces_principales,surface_terrain,id_codedep_codecommune
1,347,,RUE,DU CHATEAU,Appartement,48,3,,01103
2,4,,BD,EDOUARD BAUDOIN,Appartement,40,1,,06004
3,20,B,RUE,MARCEAU,Appartement,82,3,,06088
4,550,,RTE,DES VESPINS RN7,Appartement,27,1,,06123
5,9300,,RES,LES ARPEGES BD DES ABA,Appartement,47,2,,13005
6,27,,RUE,DU GRAND MADIER,Appartement,24,1,,13028
7,360,,AV,DU PRADO,Appartement,70,3,,13208
8,5076,F,PARC,DESSUARD,Appartement,66,3,,13212
9,1194,,RUE,DE NORMANDIE,Appartement,19,1,,14338
10,30,,ALL,DES NOISETIERS,Maison,99,4,,14366
11,11,,RUE,ROUGET DE L ISLE,Appartement,34,2,,17300
12,13,,RUE,BERTHE MORISOT,Maison,100,5,,25056
13,1,,RUE,DU POHER,Appartement,31,1,,29232
14,2,,RUE,DES JARDINS,Appartement,67,3,,29260
15,5,,AV,DU COMMANDANT TAILLANDIER,Appartement,46,2,,31555
16,15,,RUE,PAUL DENUCE,Appartement,27,1,,33063
17,176,,RUE,SAINTE CATHERINE,Appartement,12,1,,33063
18,822,G,,LA BAYNASSE SUD,Appartement,29,2,,33097
19,9,,RUE,DE BELFORT,Appartement,51,2,,33449
20,183,,RUE,MARC ANTOINE MENARD,Appartement,18,1,,34145
21,50,,AV,ANDRE CHASSEFIERE,Appartement,51,2,,34150
22,8,,PL,DES ETATS DU LANGUEDOC,Appartement,85,3,,34199
23,7,,RUE,JEAN-JACQUES ROUSSEAU,Maison,89,4,,37156
24,197,,AV,DE GRAMMONT,Appartement,46,2,,37261
25,48,,BD,MAL FOCH,Appartement,77,4,,38185
26,210,,RTE,DU TAILLEUR,Maison,53,3,,40266
27,199,,RES,MER ET GOLF-LE BOUCANIER,Appartement,48,2,,40328
28,3,,ALL,JEAN PERRIN,Appartement,45,2,,44143
29,12,,RUE,FERDINAND BUISSON,Appartement,48,2,,44184
30,35,,AV,DE CHAMPAGNE,Appartement,79,4,,51230
31,26,,RUE,MESSIER,Appartement,39,2,,54395
32,5794,,,GOLF SAINT LAURENT,Appartement,44,3,,56161
33,5,,RUE,DE PRUNEVEAUX,Appartement,124,4,,58194
34,118,,BD,DU GENERAL DE GAULLE,Appartement,71,3,,59512
35,247,,RUE,DE NOTRE DAME DU THIL,Appartement,48,2,,60057
36,34,,RUE,DE LA VILLE,Appartement,18,1,,60155
37,15,,SQ,JEAN BAPTISTE CLEMENT,Appartement,97,5,,60159
38,84,,AV,JEAN JAURES,Appartement,32,1,,60524
39,54,,RUE,DE LA BUSSIERE,Appartement,51,2,,69149
40,15,,RUE,ARTAUD,Appartement,20,1,,69384
41,1,,AV,D ABONDANCE,Appartement,33,2,,74119
42,950,,AV,DU MONT D ARBOIS,Appartement,39,2,,74236
43,110,,RTE,DE LA TELECABINE,Appartement,20,1,,74238
44,2308,,AV,DES VALLEES,Appartement,88,4,,74278
45,22,,BD,SAINT MARCEL,Appartement,41,2,,75105
46,45,,BD,DE MAGENTA,Appartement,32,2,,75110
47,14,,AV,DE LA REPUBLIQUE,Appartement,120,4,,75111
48,160,,RUE,SAINT MAUR,Appartement,28,2,,75111
49,11,,RUE,DU MOULIN JOLY,Appartement,28,2,,75111
50,36,,RUE,ERARD,Appartement,41,2,,75112
51,220,,RUE,DE CHARENTON,Appartement,51,3,,75112
52,17,,RUE,D AUSTERLITZ,Appartement,10,1,,75112
53,60,A,RUE,EMERIAU,Appartement,88,4,,75115
54,4,,RUE,SQUARE CARPEAUX,Appartement,18,1,,75118
55,36,,AV,DE CLICHY,Appartement,39,2,,75118
56,68,,RUE,MARCADET,Appartement,25,2,,75118
57,16,,AV,ALEXANDRE ANQUETIN,Appartement,59,4,,76217
58,5,,PARC,DE LA BRESLE,Appartement,58,3,,76451
59,4,,RUE,FRANCOIS LAPERT,Appartement,25,1,,76655
60,5,B,RUE,DE LA SOLIDARITE,Appartement,40,2,,77118
61,4,,ALL,HELENE LAZAREFF,Appartement,89,4,,78350
62,1,,AV,DE DENTON,Appartement,107,5,,78423
63,15,,RUE,ROBERT DESNOS,Appartement,70,4,,78545
64,1,,RUE,MAL DE LATTRE DE TASSIGNY,Appartement,40,2,,78545
65,53,,RUE,DE MAREIL,Appartement,142,5,,78551
66,1,,RUE,MAETERLINCK,Appartement,74,3,,78586
67,2,,RUE,DIVISION LECLERC,Appartement,48,2,,78640
68,,,,LES SAVELS,Appartement,50,2,,83062
69,31,,AV,DE LA SABLIERE CAPTE,Appartement,20,1,,83069
70,9100,,RES,LE GRAND SOLEIL,Appartement,38,2,,83112
71,8,,ALL,DES PAQUERETTES,Maison,91,5,,83123
72,43,,RUE,CAMPANE,Appartement,40,2,,84007
73,78,,RUE,CARNOT,Appartement,45,2,,85047
74,20,B,ALL,DU HAUT POITOU,Appartement,30,1,,86062
75,9007,,RUE,DES DOUVES,Appartement,75,4,,86194
76,14,,RUE,DU CLUZEAU,Appartement,62,2,,87075
77,8,,RUE,GEORGES BELJEAN,Appartement,43,2,,87085
78,2,,RUE,D ADELAIAU,Appartement,128,5,,91249
79,6,,RUE,DE LA DIVISION LECLERC,Appartement,43,2,,91689
80,79,,RUE,DE VARSOVIE,Appartement,55,3,,92025
81,5,,BD,GEORGES CLEMENCEAU,Appartement,65,3,,92026
82,32,,RUE,GEORGES THORETTON,Appartement,59,3,,92036
83,74,,RUE,JULES GUESDE,Appartement,55,2,,92044
84,35,,AV,SAINTE FOY,Maison,90,4,115,93032
85,4,,ALL,JOSEPHINE,Appartement,77,4,,93051
86,129,,ALL,JULES AUFFRET,Appartement,46,2,,93057
87,1,,PL,GASTON BUSSIERE,Appartement,24,2,,93071
88,21,,RUE,CLAUDE BERNARD,Appartement,67,3,,94044
89,18,,RUE,DE PROVENCE,Maison,66,4,,94060
90,4,,RUE,DU CLOS SAINT NICOLAS,Appartement,49,2,,94060
91,7,,RUE,DE L EGALITE,Appartement,17,1,,94080
92,16,,RUE,DE LA FOSSE AUX BICHES,Appartement,69,4,,95252
93,57,,ALL,DU VEXIN,Maison,93,5,,95388
94,9004,,RES,LES LIGNIERES,Appartement,56,3,,95607
95,9,,RUE,NEUVE,Appartement,47,1,,01262
96,27,,RUE,FERNAND THUILLART,Appartement,156,6,,02408
97,2,,RUE,DENAIN,Appartement,77,3,,03190
98,7052,,RES,LES CHENEVRIERS,Appartement,25,1,,04073
99,7102,,PL,DE L ENGIEN,Appartement,133,4,,04166
100,9002,,PL,DU DOCTEUR ROBERT,Appartement,33,1,,04209
101,15,,AV,NIQUET,Appartement,41,2,,06004
102,7,,CHE,DE SAINT LAURENT,Appartement,58,3,,06027
103,8,,RUE,ROSSINI,Appartement,98,4,,06088
104,27,,RUE,LAMARTINE,Appartement,95,3,,06088
105,4,,AV,VALROSE,Appartement,68,3,,06088
106,15,B,AV,VICTOR CAUVIN,Appartement,58,2,,06159
107,5,,IMP,DU CHANT DE L ALOUETTE,Appartement,52,3,,10323
108,5279,F,RUE,DU 14 JUILLET,Appartement,51,3,,13119
109,55,,RUE,FRANCIS DAVSO,Appartement,50,2,,13201
110,9,,RUE,BOSCARY,Appartement,30,1,,13204
111,9,,RUE,CRUDERE,Appartement,51,3,,13206
112,13,,BD,GUSTAVE GANAY,Appartement,52,3,,13209
113,4,,RUE,AUX NAMPS,Appartement,59,2,,14118
114,1,,RUE,PESTEL,Appartement,13,1,,14333
115,1,,AV,P CASSAGNAVERE,Appartement,53,2,,14715
116,1,,RUE,CHARLES KOECHLIN,Maison,32,2,792,14754
117,66,,AV,DENFERT ROCHEREAU,Appartement,33,1,,17300
118,6,,RUE,DES MENDRIES,Maison,50,3,,17414
119,5,,RES,DE LA HAUTE RIVE,Appartement,67,4,,22113
120,33,,RUE,ANATOLE LE BRAZ,Appartement,57,2,,22168
121,16,H,BD,DE L ATLANTIQUE,Appartement,64,4,,22278
122,19,,AV,DAUMESNIL,Appartement,33,1,,24322
123,850,,CHE,DES GOUILLOTTES,Appartement,147,5,,25527
124,34,B,RUE,DU FAUBOURG ST JEAN,Maison,105,5,,28085
125,22,,RUE,THEAULON,Appartement,50,2,,30003
126,145,,QUAI,DE BILINA,Appartement,39,2,,30007
