id_codedep_codecommune,dep_code,code_postal,nom_commune,pmun,ptot
01001,01,,L'Abergement-Clémenciat,779,798
01002,01,,L'Abergement-de-Varey,256,257
01003,01,,Amareins,,
01004,01,01500,Ambérieu-en-Bugey,14134,14514
01005,01,,Ambérieux-en-Dombes,1751,1776
01006,01,,Ambléon,112,118
01007,01,,Ambronay,2800,2915
01008,01,,Ambutrix,762,777
01009,01,,Andert-et-Condon,326,335
01010,01,,Anglefort,1105,1122
01011,01,,Apremont,368,379
01012,01,,Aranc,329,333
01013,01,,Arandas,143,147
01014,01,01100,Arbent,3349,3442
01015,01,,Arboys en Bugey,650,667
01016,01,,Arbigny,460,469
01017,01,,Argis,457,473
01018,01,,Arlod,,
01019,01,,Armix,27,31
01020,01,,Arnans,,
01021,01,,Ars-sur-Formans,1457,1485
01022,01,,Artemare,1249,1267
01023,01,,Asnières-sur-Saône,76,76
01024,01,,Attignat,3251,3316
01025,01,,Bâgé-Dommartin,4065,4171
01026,01,,Bâgé-le-Châtel,973,1041
01027,01,,Balan,2563,2615
01028,01,,Baneins,617,634
01029,01,,Beaupont,685,693
01030,01,01480,Beauregard,829,844
01031,01,01100,Bellignat,3652,3886
01032,01,,Béligneux,3376,3405
01033,01,01200,Valserhône,16378,16728
01034,01,01300,Belley,9182,9582
01035,01,,Belleydoux,310,318
01036,01,,Valromey-sur-Séran,1326,1345
01037,01,,Bénonces,308,312
01038,01,,Bény,754,775
01039,01,,Béon,443,451
01040,01,,Béréziat,486,496
01041,01,,Bettant,748,769
01042,01,,Bey,291,305
01043,01,,Beynost,4754,4867
01044,01,,Billiat,632,648
01045,01,,Birieux,283,287
01046,01,,Biziat,895,903
01047,01,,Blyes,1182,1214
01048,01,,Bohas,,
01049,01,,La Boisse,3283,3356
01050,01,,Boissey,365,369
01051,01,,Bolozon,91,92
01052,01,,Bouligneux,328,334
01053,01,,Bourg-en-Bresse,41111,42853
01054,01,,Bourg-Saint-Christophe,1457,1489
01055,01,,Bouvent,,
01056,01,,Boyeux-Saint-Jérôme,349,354
01057,01,,Boz,519,535
01058,01,,Brégnier-Cordon,828,849
01059,01,,Brénaz,,
01060,01,01110,Brénod,493,514
01061,01,,Brens,1144,1179
01062,01,,Bressolles,934,956
01063,01,,Brion,533,540
01064,01,,Briord,1070,1090
01065,01,,Buellas,1812,1876
01066,01,,La Burbanche,89,90
01067,01,,Ceignes,255,268
01068,01,,Cerdon,775,790
01069,01,,Certines,1503,1542
01070,01,,Cesseins,,
01071,01,01170,Cessy,4808,4925
01072,01,,Ceyzériat,3194,3256
01073,01,,Ceyzérieu,1000,1025
01074,01,,Chalamont,2589,2624
01075,01,,Chaleins,1382,1413
01076,01,,Chaley,125,128
01077,01,,Challes-la-Montagne,196,199
01078,01,,Challex,1557,1590
01079,01,01260,Champagne-en-Valromey,811,842
01080,01,,Champdor-Corcelles,643,657
01081,01,,Champfromier,735,756
01082,01,,Chanay,628,642
01083,01,,Chaneins,927,944
01084,01,,Chanoz-Châtenay,895,913
01085,01,,La Chapelle-du-Châtelard,400,405
01086,01,,Charancin,,
01087,01,,Charix,282,292
01088,01,,Charnoz-sur-Ain,903,930
01089,01,,Château-Gaillard,2253,2303
01090,01,,Châtenay,356,362
01091,01,,Châtillon-en-Michaille,,
01092,01,,Châtillon-la-Palud,1604,1662
01093,01,,Châtillon-sur-Chalaronne,4931,5134
01094,01,,Chavannes-sur-Reyssouze,761,773
01095,01,,Nivigne et Suran,853,865
01096,01,,Chaveyriat,1034,1064
01097,01,,Chavornay,,
01098,01,,Chazey-Bons,1159,1195
01099,01,,Chazey-sur-Ain,1566,1623
01100,01,,Cheignieu-la-Balme,131,135
01101,01,,Chevillard,152,159
01102,01,,Chevroux,961,976
01103,01,01170,Chevry,2149,2196
01104,01,,Chézery-Forens,461,471
01105,01,,Civrieux,1829,1882
01106,01,,Cize,179,186
01107,01,,Cleyzieu,133,137
01108,01,,Coligny,1176,1200
01109,01,01550,Collonges,2226,2272
01110,01,,Colomieu,156,158
01111,01,,Conand,132,133
01112,01,,Condamine,450,462
01113,01,,Condeissiat,817,829
01114,01,,Confort,667,679
01115,01,,Confrançon,1333,1363
01116,01,,Contrevoz,498,510
01117,01,,Conzieu,151,153
01118,01,,Corbonod,1278,1310
01119,01,,Corcelles,,
01120,01,,Cordieux,,
01121,01,,Corlier,116,117
01122,01,,Cormaranche-en-Bugey,,
01123,01,,Cormoranche-sur-Saône,1162,1197
01124,01,,Cormoz,689,697
01125,01,,Corveissiat,612,625
01126,01,,Coupy,,
01127,01,,Courmangoux,508,516
01128,01,,Courtes,305,306
01129,01,,Crans,291,297
01130,01,,Bresse Vallons,2363,2407
01131,01,,Craz,,
01132,01,,Crépieux-la-Pape,,
01133,01,,Cressin-Rochefort,394,400
01134,01,,Crottet,1758,1803
01135,01,01170,Crozet,2171,2235
01136,01,,Cruzilles-lès-Mépillat,893,913
01137,01,,Cuisiat,,
01138,01,01350,Culoz,3004,3068
01139,01,,Curciat-Dongalon,444,449
01140,01,,Curtafond,767,786
01141,01,,Cuzieu,453,468
01142,01,01120,Dagneux,4777,4834
01143,01,01220,Divonne-les-Bains,9951,10190
01144,01,,Dommartin,,
01145,01,,Dompierre-sur-Veyle,1179,1201
01146,01,,Dompierre-sur-Chalaronne,436,439
01147,01,,Domsure,492,495
01148,01,01590,Dortan,1879,1925
01149,01,,Douvres,1076,1104
01150,01,,Drom,214,219
01151,01,,Druillat,1146,1173
01152,01,,Echallon,748,768
01153,01,01170,Echenevex,2115,2189
01154,01,,Etrez,,
01155,01,,Evosges,143,147
